web-scraper-order,web-scraper-start-url,page_numbers,page_numbers-href,product_selector,product_selector-href,name,price,fuel_type,exterior_color,interior_color,city_mpg,highway_mpg,engine,mileage
"1603307640-10","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 43 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2014 Ford Focus SE
                        
                                
                                    82,620 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $6,599
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            GREAT DEAL $985 Under
                                        
    
                                    
                            
                            
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Other
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX Report
                                
                                    
                            
                    
                        
                            
                                Prime Auto Imports
    
                                        
                                            
                                             () -
                                            (973) 850-4241
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.9  (39 reviews)
                                    
    
                            
                                25 mi. from 10001
                            
                        
    
                    
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/790864622/overview/","2014 Ford Focus SE","$6,599","Gasoline","Silver","36","26","393485","2.0L I4 16V GDI DOHC","82,620"
"1603310246-65","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 26 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2018 Ford Focus SE
                        
                                
                                    41,368 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $13,995
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            FAIR PRICE
                                        
    
                                    
                            
                            
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Silver
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Queens Auto Mall
    
                                        
                                            
                                             () -
                                            (888) 887-4707
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.1  (575 reviews)
                                    
    
                            
                                9 mi. from 10001
                            
                        
    
                    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/826294682/overview/","2018 Ford Focus SE","$13,995","Gasoline","Ingot Silver Metallic","Charcoal Black","30","40","6-Speed PowerShift Automatic","1FADP3F2XJL212658"
"1603307328-2","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 44 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2017 Ford Focus SE
                        
                                
                                    69,311 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $11,990
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            GOOD DEAL
                                        
    
                                    
                            
                            
                                
                                    
                                    
                                        
                                            
                                        
                                    
                                    HOT CAR
                                
    
                                
                                    ONLINE HOME DELIVERY
                                
    
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Blue
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Manual
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Carvana-Touchless Delivery To Your Home
    
                                        
                                            
                                             () -
                                            (901) 201-5990
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.3  (3787 reviews)
                                    
    
                            
                                Online seller
                                                            
                        
    
                    
                        
                            
                                Selling your car? 
                            
                            
                                Get an instant offer
                                
                                        
                                            
                                        
                                
                            
                        
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call
                                        
                        
                    
                
    
                
                        
                        
                        
                            
                                Home Delivery
                                Vehicle available to be shipped to your home. Contact the dealership for details.","https://www.cars.com/vehicledetail/detail/826589927/overview/?isShippableInsideSearchRadius","2017 Ford Focus SE","$11,990","Gasoline","Blue","Medium Light Stone","30","40","6-Speed Manual","1FADP3FE1HL220670"
"1603308064-19","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","JUST ADDED
                        
                    
    
    
    
                    
    
                            
                            
                    
                
            
    
    
                    
                        
                                Used
                        
                          
                            2007 Ford Focus SES
                        
                                
                                    18,800 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $5,500
                            
                            
                            
                            
                            
    
    
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Gray
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Manual
                            
    
                            
                                Drivetrain:
    
                                    Unknown
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    CARFAX Report
                                
                                    
                            
                    
                        
                            
                                sylvia (Private Seller)
    
                            
    
    
                            
                                17 mi. from 10001
                            
                        
    
                    
                    
                        
    
                                
                                    Check Availability","https://www.cars.com/vehicledetail/detail/826841627/overview/","2007 Ford Focus SES","$5,500","Unknown","Gray","Gray","27","37","null","null"
"1603311002-84","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 43 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2017 Ford Focus SE
                        
                                
                                    30,056 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $13,590
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            GOOD DEAL
                                        
    
                                    
                            
                            
    
                                
                                    ONLINE HOME DELIVERY
                                
    
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Carvana-Touchless Delivery To Your Home
    
                                        
                                            
                                             () -
                                            (866) 334-9773
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.3  (3789 reviews)
                                    
    
                            
                                Online seller
                                                            
                        
    
                    
                        
                            
                                Selling your car? 
                            
                            
                                Get an instant offer
                                
                                        
                                            
                                        
                                
                            
                        
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call
                                        
                        
                    
                
    
                
                        
                        
                        
                            
                                Home Delivery
                                Vehicle available to be shipped to your home. Contact the dealership for details.","https://www.cars.com/vehicledetail/detail/825904225/overview/?isShippableInsideSearchRadius","2017 Ford Focus SE","$13,590","E85 Flex Fuel","Black","Medium Light Stone","26","38","6-Speed Automatic with Auto-Shift","1FADP3K23HL318014"
"1603310286-66","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 30 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2016 Ford Focus SE
                        
                                
                                    22,356 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $13,999
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            FAIR PRICE
                                        
    
                                    
                            
                            
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Quality Chevrolet Buick GMC
    
                                        
                                            
                                             () -
                                            (201) 735-1813
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        1.8  (5 reviews)
                                    
    
                            
                                9 mi. from 10001
                            
                        
    
                    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/825947966/overview/","2016 Ford Focus SE","$13,999","E85 Flex Fuel","Black","Charcoal Black","26","36","Automatic","1FADP3F28GL334900"
"1603311625-92","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 31 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2012 Ford Focus SE
                        
                                
                                    79,101 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $8,995
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            FAIR PRICE
                                        
    
                                    
                            
                            
    
    
                                
                                    LOCAL HOME DELIVERY
                                
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Black
                            
    
                            
                                Transmission:
    
                                    Other / Unknown
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX Report
                                
                                    
                            
                    
                        
                            
                                MajorWorld Chevy
    
                                        
                                            
                                             () -
                                            (888) 445-2316
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        3.6  (2128 reviews)
                                    
    
                            
                                3 mi. from 10001
                            
                        
    
                    
                    
                        
    
                                
                                    Check Availability
                                
    
                                        
                                            Call","https://www.cars.com/vehicledetail/detail/818818203/overview/","2012 Ford Focus SE","$8,995","E85 Flex Fuel","White","Arctic White / Charcoal Black","26","36","2.0L I4 16V GDI DOHC Flexible Fuel","79,101"
"1603311342-87","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 44 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2017 Ford Focus Titanium
                        
                                
                                    21,171 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $16,590
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            GOOD DEAL
                                        
    
                                    
                            
                            
    
                                
                                    ONLINE HOME DELIVERY
                                
    
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    White
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Carvana-Touchless Delivery To Your Home
    
                                        
                                            
                                             () -
                                            (866) 334-9773
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.3  (3789 reviews)
                                    
    
                            
                                Online seller
                                                            
                        
    
                    
                        
                            
                                Selling your car? 
                            
                            
                                Get an instant offer
                                
                                        
                                            
                                        
                                
                            
                        
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call
                                        
                        
                    
                
    
                
                        
                        
                        
                            
                                Home Delivery
                                Vehicle available to be shipped to your home. Contact the dealership for details.","https://www.cars.com/vehicledetail/detail/825604348/overview/?isShippableInsideSearchRadius","2017 Ford Focus Titanium","$16,590","E85 Flex Fuel","White","Medium Light Stone","26","36","6-Speed Automatic with Auto-Shift","1FADP3J25HL294493"
"1603310982-83","https://www.cars.com/for-sale/searchresults.action/?mdId=21138&mkId=20015&page=1&perPage=100&rd=30&searchSource=PAGINATION&sort=relevance&stkTypId=28881&zc=10001","","","See all 45 photos
                                        
                                    
                            
                    
                        
                                
                                
                                
                                
                                
                                
                        
                
            
    
    
                    
                        
                                Used
                        
                          
                            2017 Ford Focus S
                        
                                
                                    68,035 mi.
                                    
                                
    
                        
                    
                        
                        
                       
                        
                            
                                    $11,990
                            
                            
                            
                                    
                                        
                                            
                                                
                                                    
                                                
                                            
                                            GOOD DEAL
                                        
    
                                    
                            
                            
    
                                
                                    ONLINE HOME DELIVERY
                                
    
                                
                                    VIRTUAL APPOINTMENTS
                                
                             
                        
                       
                       
                        
                        
                            
                                Ext. Color:
    
                                    Black
                            
    
                            
                                Int. Color:
    
                                    Gray
                            
    
                            
                                Transmission:
    
                                    Automatic
                            
    
                            
                                Drivetrain:
    
                                    FWD
                            
                        
    
    
                        
                            
    
                                
                                    
                                
    
                                Save
                            
    
                            
                                                                Compare
                            
                        
    
    
                            
                                    
                                
                                    
                                        
                                    Free CARFAX 1-Owner Report
                                
                                    
                            
                    
                        
                            
                                Carvana-Touchless Delivery To Your Home
    
                                        
                                            
                                             () -
                                            (866) 334-9773
                                        
                            
    
                                    
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        
                                            
                                        
                                        4.3  (3789 reviews)
                                    
    
                            
                                Online seller
                                                            
                        
    
                    
                        
                            
                                Selling your car? 
                            
                            
                                Get an instant offer
                                
                                        
                                            
                                        
                                
                            
                        
                    
                        
    
                                
                                    Check Availability
                                
                            
                                        
                                            Call
                                        
                        
                    
                
    
                
                        
                        
                        
                            
                                Home Delivery
                                Vehicle available to be shipped to your home. Contact the dealership for details.","https://www.cars.com/vehicledetail/detail/826135751/overview/?isShippableInsideSearchRadius","2017 Ford Focus S","$11,990","E85 Flex Fuel","Black","Medium Light Stone","25","34","4-Speed PowerShift Automatic","1FADP3E2XHL323268"
